Mod:Item:MetaData, Localized Name
appliedenergistics2:tile.BlockCraftingStorage:2, Disque 16k pour la fabrication
appliedenergistics2:tile.BlockCraftingStorage:3, Disque 64k pour la fabrication
appliedenergistics2:tile.BlockCraftingMonitor:0, Moniteur de fabrication
appliedenergistics2:tile.BlockMolecularAssembler, Assembleur moléculaire
appliedenergistics2:tile.BlockLightDetector, Détecteur de lumière à accrocher
appliedenergistics2:tile.BlockPaint, tile.appliedenergistics2.BlockPaint.name
appliedenergistics2:tile.SkyStoneStairBlock, Escaliers de pierre de ciel
appliedenergistics2:tile.SkyStoneBlockStairBlock, Escaliers de bloc de pierre de ciel
appliedenergistics2:tile.SkyStoneBrickStairBlock, Escaliers de briques de pierre de ciel
appliedenergistics2:tile.SkyStoneSmallBrickStairBlock, Escaliers de petites briques de pierre de ciel
appliedenergistics2:tile.FluixStairBlock, Escaliers de Fluix
appliedenergistics2:tile.QuartzStairBlock, Escaliers de Quartz Certus
appliedenergistics2:tile.ChiseledQuartzStairBlock, Escaliers de Quartz Certus ciselé
appliedenergistics2:tile.QuartzPillarStairBlock, Escaliers de pilier de Quartz Certus
appliedenergistics2:tile.SkyStoneSlabBlock:0, Dalle de pierre de ciel
appliedenergistics2:tile.SkyStoneSlabBlock.double:0, Dalle de pierre de ciel
appliedenergistics2:tile.SkyStoneBlockSlabBlock:0, Dalle de bloc de pierre de ciel
appliedenergistics2:tile.SkyStoneBlockSlabBlock.double:0, Dalle de bloc de pierre de ciel
appliedenergistics2:tile.SkyStoneBrickSlabBlock:0, Dalle de briques de pierre de ciel
appliedenergistics2:tile.SkyStoneBrickSlabBlock.double:0, Dalle de briques de pierre de ciel
appliedenergistics2:tile.SkyStoneSmallBrickSlabBlock:0, Dalle de petites briques de pierre de ciel
appliedenergistics2:tile.SkyStoneSmallBrickSlabBlock.double:0, Dalle de petites briques de pierre de ciel
appliedenergistics2:tile.FluixSlabBlock:0, Dalle de Fluix
appliedenergistics2:tile.FluixSlabBlock.double:0, Dalle de Fluix
appliedenergistics2:tile.QuartzSlabBlock:0, Dalle de Quartz Certus
appliedenergistics2:tile.QuartzSlabBlock.double:0, Dalle de Quartz Certus
appliedenergistics2:tile.ChiseledQuartzSlabBlock:0, Dalle de Quartz Certus ciselé
appliedenergistics2:tile.ChiseledQuartzSlabBlock.double:0, Dalle de Quartz Certus ciselé
appliedenergistics2:tile.QuartzPillarSlabBlock:0, Dalle de pilier de Quartz Certus
appliedenergistics2:tile.QuartzPillarSlabBlock.double:0, Dalle de pilier de Quartz Certus
AWWayofTime:Altar, Autel de Sang
AWWayofTime:AlchemicalWizardrybloodRune:0, Rune de Sang
AWWayofTime:AlchemicalWizardrybloodRune:1, Rune de Capacité Augmentée
AWWayofTime:AlchemicalWizardrybloodRune:2, Rune de Dislocation
AWWayofTime:AlchemicalWizardrybloodRune:3, Rune of the Orb
AWWayofTime:AlchemicalWizardrybloodRune:4, Rune de la Capacité Supérieure
AWWayofTime:AlchemicalWizardrybloodRune:5, Rune d'Accélération
AWWayofTime:lifeEssence, Extrait de Vitalité
AWWayofTime:speedRune, Rune de Vitesse
AWWayofTime:efficiencyRune, Rune d’Efficacité
AWWayofTime:runeOfSacrifice, Rune du Sacrifice
AWWayofTime:runeOfSelfSacrifice, Rune de l’Auto-Sacrifice
AWWayofTime:ritualStone, Pierre Rituelle
AWWayofTime:masterStone, Pierre Rituelle Maître
AWWayofTime:bloodSocket, Poche Remplie
AWWayofTime:imperfectRitualStone, Pierre Rituelle Imparfaite
AWWayofTime:armourForge, Forge d’Armure d’Âme
AWWayofTime:emptySocket, Poche Vide
AWWayofTime:bloodStoneBrick, Brique de Roche-Sang
AWWayofTime:largeBloodStoneBrick, Brique Large de Roche-Sang
AWWayofTime:blockWritingTable, Matériel d’Alchimie
AWWayofTime:blockHomHeart, Table des Maléfices
AWWayofTime:blockPedestal, Piédéstal Arcanique
AWWayofTime:blockPlinth, Socle Arcanique
AWWayofTime:blockTeleposer, Téléposeur
AWWayofTime:spectralBlock, Spectral Block
AWWayofTime:bloodLight, Blood Light
AWWayofTime:blockConduit, Conduit des Maléfices
AWWayofTime:AlchemicalWizardrytile.blockSpellParadigm:0, Générateur de Particule
AWWayofTime:AlchemicalWizardrytile.blockSpellParadigm:1, Auto-Augmenteur
AWWayofTime:AlchemicalWizardrytile.blockSpellParadigm:2, Agrégation à la Mêlée
AWWayofTime:AlchemicalWizardrytile.blockSpellParadigm:3, Forgeron Outilleur
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:0, Renforcement Instable des Maléfices
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:1, Renforcement Standard des Maléfices
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:2, Renforcement Renforcé des Maléfices
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:3, Renforcement Imprégné des Maléfices
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:4, Renforcement Diabolo des Maléfices
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:5, Ristourne Instable des Maléfices
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:6, Ristourne Standard des Maléfices
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:7, Ristourne Renforcée des Maléfices
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:8, Ristourne Imprégnée des Maléfices
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:9, Ristourne Démoniaque des Maléfices
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:10, Amélioration Instable des Maléfices
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:11, Amélioration Standard des Maléfices
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:12, Amélioration Renforcée des Maléfices
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:13, Amélioration Imprégnée des Maléfices
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:14, Amélioration Diabolo des Maléfices
AWWayofTime:AlchemicalWizardrytile.blockSpellModifier:0, Modification Basique des Maléfices
AWWayofTime:AlchemicalWizardrytile.blockSpellModifier:1, Modification Offensive des Maléfices
AWWayofTime:AlchemicalWizardrytile.blockSpellModifier:2, Modification Défensive des Maléfices
AWWayofTime:AlchemicalWizardrytile.blockSpellModifier:3, Modification Environnementale des Maléfices
AWWayofTime:AlchemicalWizardrytile.blockSpellEffect:0, Creuset des Flammes
AWWayofTime:AlchemicalWizardrytile.blockSpellEffect:1, Geyser de Glace
AWWayofTime:AlchemicalWizardrytile.blockSpellEffect:2, Jaillissement des Vents
AWWayofTime:AlchemicalWizardrytile.blockSpellEffect:3, Assembleur des Terres
AWWayofTime:spectralContainer, Spectral Container
AWWayofTime:demonPortalMain, Portail Diabolo
AWWayofTime:blockSchemSaver, Schematic Saver
AWWayofTime:blockReagentConduit, Relais Alchimique
AWWayofTime:blockAlchemicCalcinator, Calcinateur Alchimique
AWWayofTime:blockCrystalBelljar:0, Cloche de Cristal
AWWayofTime:blockDemonChest, Demon's Chest
AWWayofTime:blockCrystal:0, Fragments de Cristaux
AWWayofTime:blockCrystal:1, Briques de Fragments de Cristaux
AWWayofTime:blockMimic, Mimic Block
AWWayofTime:blockEnchantmentGlyph:0, Glyph of the Adept Enchanter
AWWayofTime:blockEnchantmentGlyph:1, Glyph of Arcane Potential
AWWayofTime:blockStabilityGlyph:0, Glyph of Rigid Stability
AWWayofTime:blockCrucible, Incense Crucible
Avaritia:Double_Craft, Compressed Crafting Table
Avaritia:Triple_Craft, Double Compressed Crafting Table
Avaritia:Dire_Crafting, Dire Crafting Table
Avaritia:Crystal_Matrix, Crystal Matrix
Avaritia:Resource_Block:0, Neutronium Block
Avaritia:Resource_Block:1, Infinity Block
Avaritia:Neutron_Collector, Neutron Collector
Avaritia:Neutronium_Compressor, Neutronium Compressor
ImmersiveEngineering:ore:0, Minerai de cuivre
ImmersiveEngineering:ore:1, Minerai de bauxite
ImmersiveEngineering:ore:2, Minerai de plomb
ImmersiveEngineering:ore:3, Minerai d'argent
ImmersiveEngineering:ore:4, Minerai de nickel
ImmersiveEngineering:storage:0, Bloc de cuivre
ImmersiveEngineering:storage:1, Bloc d'aluminium
ImmersiveEngineering:storage:2, Bloc de plomb
ImmersiveEngineering:storage:3, Bloc d'argent
ImmersiveEngineering:storage:4, Bloc de nickel
ImmersiveEngineering:storage:5, Bloc de constantan
ImmersiveEngineering:storage:6, Bloc d'électrum
ImmersiveEngineering:storage:7, Bloc d'acier
ImmersiveEngineering:storage:8, Bobine de fil de cuivre
ImmersiveEngineering:storage:9, Bobine de fil d'électrum
ImmersiveEngineering:storage:10, Bobine de fil haute-tension
ImmersiveEngineering:storageSlab:0, Dalle de cuivre
ImmersiveEngineering:storageSlab:1, Dalle d'aluminium
ImmersiveEngineering:storageSlab:2, Dalle de plomb
ImmersiveEngineering:storageSlab:3, Dalle d'argent
ImmersiveEngineering:storageSlab:4, Dalle de nickel
ImmersiveEngineering:storageSlab:5, Dalle de constantan
ImmersiveEngineering:storageSlab:6, Dalle d'électrum
ImmersiveEngineering:storageSlab:7, Dalle d'acier
ImmersiveEngineering:stoneSlab:0, Hempcrete Slab
ImmersiveEngineering:stoneSlab:1, Concrete Slab
ImmersiveEngineering:stoneSlab:2, Concrete Tile Slab
ImmersiveEngineering:metalDevice:0, Capuchon de connection BT
ImmersiveEngineering:metalDevice:1, Condensateur BT
ImmersiveEngineering:metalDevice:1, Condensateur BT
ImmersiveEngineering:metalDevice:2, Capuchon de connection MT
ImmersiveEngineering:metalDevice:3, Condensateur MT
ImmersiveEngineering:metalDevice:3, Condensateur MT
ImmersiveEngineering:metalDevice:4, Transformateur
ImmersiveEngineering:metalDevice:5, Connecteur HT
ImmersiveEngineering:metalDevice:6, Capuchon de connection HT
ImmersiveEngineering:metalDevice:7, Condensateur HT
ImmersiveEngineering:metalDevice:7, Condensateur HT
ImmersiveEngineering:metalDevice:8, Transformateur HT
ImmersiveEngineering:metalDevice:9, Dynamo cinétique
ImmersiveEngineering:metalDevice:10, Générateur thermo-électrique
ImmersiveEngineering:metalDevice:11, Tapis roulant
ImmersiveEngineering:metalDevice:12, Préchauffeur externe
ImmersiveEngineering:metalDevice:13, Routeur d'éléments
ImmersiveEngineering:metalDevice:14, Foret de carotte
ImmersiveEngineering:metalDevice:15, Dropping Conveyor Belt
ImmersiveEngineering:metalDevice2:0, Levier disjoncteur
ImmersiveEngineering:metalDevice2:2, Current Transformer
ImmersiveEngineering:metalDevice2:3, Lanterne électrique
ImmersiveEngineering:metalDevice2:4, Floodlight
ImmersiveEngineering:metalDevice2:5, Tuyau de fluide
ImmersiveEngineering:metalDevice2:6, Fluid Pump
ImmersiveEngineering:metalDevice2:7, Metal Barrel
ImmersiveEngineering:metalDevice2:8, Creative Capacitor
ImmersiveEngineering:metalDevice2:9, Redstone Breaker
ImmersiveEngineering:metalDevice2:10, Charging Station
ImmersiveEngineering:metalDevice2:11, Blast Furnace Preheater
ImmersiveEngineering:metalDecoration:0, Barrière en acier
ImmersiveEngineering:metalDecoration:1, Échafaudage en acier
ImmersiveEngineering:metalDecoration:2, Lanterne
ImmersiveEngineering:metalDecoration:3, Bras structurel
ImmersiveEngineering:metalDecoration:4, Bloc de radiateur
ImmersiveEngineering:metalDecoration:5, Bloc d'ingiénerie lourde
ImmersiveEngineering:metalDecoration:6, Bloc de générateur
ImmersiveEngineering:metalDecoration:7, Bloc d'ingiénerie légère
ImmersiveEngineering:metalDecoration:8, Connecteur de câcle structurel
ImmersiveEngineering:metalDecoration:9, Support mural d'acier
ImmersiveEngineering:metalDecoration:10, Bloc de tôle
ImmersiveEngineering:metalDecoration:11, Steel Scaffolding
ImmersiveEngineering:metalDecoration:12, Aluminium Fence
ImmersiveEngineering:metalDecoration:13, Aluminium Scaffolding
ImmersiveEngineering:metalDecoration:14, Aluminium Scaffolding
ImmersiveEngineering:metalDecoration:15, Aluminium Structural Arm
ImmersiveEngineering:metalDecoration2:0, Aluminium Sheet Metal Block
ImmersiveEngineering:metalDecoration2:1, Lead Sheet Metal Block
ImmersiveEngineering:metalDecoration2:2, Steel Sheet Metal Block
ImmersiveEngineering:metalMultiblock:0, Base de paratonnerre
ImmersiveEngineering:metalMultiblock:2, Pressoir industriel
ImmersiveEngineering:metalMultiblock:3, Fermenteur
ImmersiveEngineering:woodenDevice:0, Poteau en bois
ImmersiveEngineering:woodenDevice:1, Roue à aubes
ImmersiveEngineering:woodenDevice:2, Éolienne
ImmersiveEngineering:woodenDevice:3, Éolienne améliorée
ImmersiveEngineering:woodenDevice:4, Caisse de stockage en bois
ImmersiveEngineering:woodenDevice:5, Établi de l'ingénieur
ImmersiveEngineering:woodenDevice:6, Baril en bois
ImmersiveEngineering:woodenDecoration:1, Barrière en bois traité
ImmersiveEngineering:woodenDecoration:2, Dalle en bois traité
ImmersiveEngineering:woodenDecoration:4, Double-dalles en bois traité
ImmersiveEngineering:woodenDecoration:5, Échafaudage en bois traité
ImmersiveEngineering:woodenDecoration:6, Support mural en bois traité
ImmersiveEngineering:treatedWood:0, Planches en bois traité
ImmersiveEngineering:treatedWood:1, Planches en bois traité
ImmersiveEngineering:treatedWood:2, Planches en bois traité
ImmersiveEngineering:woodenStairs, Escaliers en bois traité
ImmersiveEngineering:woodenStairs1, Treated Wood Stairs
ImmersiveEngineering:woodenStairs2, Treated Wood Stairs
ImmersiveEngineering:stoneDevice:4, Double vitrage
ImmersiveEngineering:stoneDecoration:0, Brique de chanvre
ImmersiveEngineering:stoneDecoration:1, Brique de coke
ImmersiveEngineering:stoneDecoration:2, Brique réfractaire
ImmersiveEngineering:stoneDecoration:3, Brique de coke de charbon
ImmersiveEngineering:stoneDecoration:4, Béton
ImmersiveEngineering:stoneDecoration:5, Carrelage
ImmersiveEngineering:stoneDecoration:6, Reinforced Blast Brick
ImmersiveEngineering:concreteStairs, Concrete Stairs
ImmersiveEngineering:concreteTileStairs, Concrete Tile Stairs
ImmersiveEngineering:hemp, Chanvre industriel
ImmersiveEngineering:fakeLight, tile.ImmersiveEngineering.fakeLight.name
ImmersiveEngineering:clothDevice, tile.ImmersiveEngineering.clothDevice.name
arcane_engineering:destabilizer, Node Destabilizer
Automagy:blockRedcrystal, Cristrouge
Automagy:blockRedcrystalAmp, Cristrouge amplifié
Automagy:blockRedcrystalDim, Cristrouge diminué
Automagy:blockRedcrystalDense, Cristrouge dense
Automagy:blockRedcrystalRes, Cristrouge résonant
Automagy:blockRedcrystalMerc, Cristrouge changeant
Automagy:blockTorchInversion, Torche d'inversion Redstone
Automagy:blockTorchInversion_off, Torche d'inversion Redstone
Automagy:blockRemoteComparator, Comparateur distant
Automagy:blockVisReader, Lecteur de vis
Automagy:blockTally, Boite de concordance
Automagy:blockHourglass, Sablier
Automagy:blockHourglassMagic, Sablier magique
Automagy:blockGreedyChest, Coffre avide
Automagy:blockEagerChest, Coffre désireux
Automagy:blockTenaciousChest, Coffre tenace
Automagy:blockHungryMaw, Gueule affamée
Automagy:blockFinicalMaw, Gueule scrupuleuse
Automagy:blockGolemInhibitor, Inhibiteur golémique
Automagy:blockEntitySignal, Signum Entia
Automagy:blockEssentiaLocus, Locus d'Essentia
Automagy:blockEssentiaLocusAggregator, Agrégateur d'Essentia
Automagy:blockInventarium, Coeur d'inventarium
Automagy:blockUnseenScribe, Scribe invisible
Automagy:blockScribePointer, Oculus du scribe
Automagy:blockGolemTaskmaster, Maitre des taches golemiques
Automagy:blockReqTome, Tome de réquisition
Automagy:blockBookshelfEnchanted:0, Bibliothèque enchantée
Automagy:blockBookshelfEnchanted:1, Bibliothèque ensorcelée
Automagy:blockTranslucent:0, Ambre rayonnant
Automagy:blockTranslucent:1, Briques d'ambre rayonnant
Automagy:blockMetalGlow:0, Bloc mémoire
Automagy:blockNethermind, Esprit inférieur
Automagy:blockRunedObsidian, Obsidienne runée
Automagy:blockNetherRune:0, Obsidienne runée (Roche)
Automagy:blockNetherRune:1, Obsidienne runée (Mer)
Automagy:blockNetherRune:2, Obsidienne runée (Cristal)
Automagy:blockNetherRune:3, Obsidienne runée (Lumière)
Automagy:blockNetherRune:4, Obsidienne runée (Esprit)
Automagy:blockNetherRune:6, Obsidienne runée (Célérité)
Automagy:blockNetherRuneMob:0, Obsidienne runée (Zombie)
Automagy:blockNetherRuneMob:1, Obsidienne runée (Flamme)
Automagy:blockNetherRuneMob:2, Obsidienne runée (Ghast)
Automagy:blockNetherRuneMob:3, Obsidienne runée (Crâne)
Automagy:blockNetherRuneMob:4, Obsidienne runée (Slime)
Automagy:blockNetherRuneMob:5, Obsidienne runée (Chauve-souris)
Automagy:blockNetherRuneMob:6, Obsidienne runée (Feu-follet)
Automagy:blockMobLure, Leurre des sirènes
Automagy:blockDimensionLure, Leurre dimensionnelle
Automagy:blockGolemWorkbench, Atelier de golem
Automagy:blockThirstyTank, Réservoir assoiffé
Automagy:blockBoiler, Chaudière alchimique
Automagy:blockCreativeJar:3, Bocal infini
Automagy:blockAmnesiac, Pierre d'amnésie
Automagy:blockXPStone, Pierre d'esprit
Automagy:blockXPJar, Bocal de concentré d'enchanteur
Automagy:blockThaumostaticPylon:0, Pylône thaumostatique
Automagy:blockThaumostaticPylon:1, Contrôleur thaumostatique
Automagy:blockMirrorAlt:0, Miroir mélangeant
Automagy:blockMirrorMultiDest:0, Dispersing Mirror
Automagy:blockFluidMilk, Lait
Automagy:blockFluidMushroom, Soupe de champignon
Automagy:blockFluidVishroom, Soupe de chamvisgnon
Automagy:blockPhenomenon, Phénomène
Automagy:blockThaumostaticSpire, Pointe thaumostatique
Automagy:blockTallyLensWorld, Boite de concordance (Lentille : déliée)
Automagy:blockTallyLensDrops, Boite de concordance (Lentille : contrainte)
BiblioCraft:tile.BiblioFramedChest:0, Framed Chest
BiblioCraft:BiblioPaneler:0, Oak Furniture Paneler
BiblioCraft:BiblioPaneler:1, Spruce Furniture Paneler
BiblioCraft:BiblioPaneler:2, Birch Furniture Paneler
BiblioCraft:BiblioPaneler:3, Jungle Furniture Paneler
BiblioCraft:BiblioPaneler:4, Acacia Furniture Paneler
BiblioCraft:BiblioPaneler:5, Dark Oak Furniture Paneler
BiblioCraft:BiblioPaneler:6, Framed Furniture Paneler
BiblioCraft:BiblioClipboard, tile.BiblioClipboard.name
BiblioCraft:BiblioTypewriter:0, Machine à écrire blanche
BiblioCraft:BiblioTypewriter:1, Machine à écrire gris clair
BiblioCraft:BiblioTypewriter:2, Machine à écrire grise
BiblioCraft:BiblioTypewriter:3, Machine à écrire noire
BiblioCraft:BiblioTypewriter:4, Machine à écrire rouge
BiblioCraft:BiblioTypewriter:5, Machine à écrire orange
BiblioCraft:BiblioTypewriter:6, Machine à écrire jaune
BiblioCraft:BiblioTypewriter:7, Machine à écrire vert clair
BiblioCraft:BiblioTypewriter:8, Machine à écrire verte
BiblioCraft:BiblioTypewriter:9, Machine à écrire cyan
BiblioCraft:BiblioTypewriter:10, Machine à écrire bleu clair
BiblioCraft:BiblioTypewriter:11, Machine à écrire bleue
BiblioCraft:BiblioTypewriter:12, Machine à écrire violette
BiblioCraft:BiblioTypewriter:13, Machine à écrire magenta
BiblioCraft:BiblioTypewriter:14, Machine à écrire rose
BiblioCraft:BiblioTypewriter:15, Machine à écrire marron
BiblioCraft:BiblioClock:0, Horloge en chêne
BiblioCraft:BiblioClock:1, Horloge en pin
BiblioCraft:BiblioClock:2, Horloge en bouleau
BiblioCraft:BiblioClock:3, Horloge en acajou
BiblioCraft:BiblioClock:4, Horloge en acacia
BiblioCraft:BiblioClock:5, Horloge en chêne sombre
BiblioCraft:BiblioClock:6, Framed Clock
BiblioCraft:BiblioFlatPainting:0, Cadre en chêne
BiblioCraft:BiblioFlatPainting:1, Cadre en pin
BiblioCraft:BiblioFlatPainting:2, Cadre en bouleau
BiblioCraft:BiblioFlatPainting:3, Cadre en acajou
BiblioCraft:BiblioFlatPainting:4, Cadre en acacia
BiblioCraft:BiblioFlatPainting:5, Cadre en chêne sombre
BiblioCraft:BiblioFlatPainting:6, Framed Painting Frame
BiblioCraft:BiblioSimplePainting:0, Cadre en chêne
BiblioCraft:BiblioSimplePainting:1, Cadre en pin
BiblioCraft:BiblioSimplePainting:2, Cadre en bouleau
BiblioCraft:BiblioSimplePainting:3, Cadre en acajou
BiblioCraft:BiblioSimplePainting:4, Cadre en acacia
BiblioCraft:BiblioSimplePainting:5, Cadre en chêne sombre
BiblioCraft:BiblioSimplePainting:6, Framed Painting Frame
BiblioCraft:BiblioMiddlePainting:0, Cadre en chêne
BiblioCraft:BiblioMiddlePainting:1, Cadre en pin
BiblioCraft:BiblioMiddlePainting:2, Cadre en bouleau
BiblioCraft:BiblioMiddlePainting:3, Cadre en acajou
BiblioCraft:BiblioMiddlePainting:4, Cadre en acacia
BiblioCraft:BiblioMiddlePainting:5, Cadre en chêne sombre
BiblioCraft:BiblioMiddlePainting:6, Framed Painting Frame
BiblioCraft:BiblioFancyPainting:0, Cadre en chêne
BiblioCraft:BiblioFancyPainting:1, Cadre en pin
BiblioCraft:BiblioFancyPainting:2, Cadre en bouleau
BiblioCraft:BiblioFancyPainting:3, Cadre en acajou
BiblioCraft:BiblioFancyPainting:4, Cadre en acacia
BiblioCraft:BiblioFancyPainting:5, Cadre en chêne sombre
BiblioCraft:BiblioFancyPainting:6, Framed Painting Frame
BiblioCraft:BiblioBorderlessPainting:0, Cadre en chêne
BiblioCraft:BiblioBorderlessPainting:1, Cadre en pin
BiblioCraft:BiblioBorderlessPainting:2, Cadre en bouleau
BiblioCraft:BiblioBorderlessPainting:3, Cadre en acajou
BiblioCraft:BiblioBorderlessPainting:4, Cadre en acacia
BiblioCraft:BiblioBorderlessPainting:5, Cadre en chêne sombre
BiblioCraft:BiblioBorderlessPainting:6, Framed Painting Frame
BiblioCraft:BiblioPaintPress, Painting Press
BiblioCraft:BiblioSwordPedestal:0, Piédestal pour épée
BiblioCraft:BiblioSwordPedestal:1, Piédestal pour épée
BiblioCraft:BiblioSwordPedestal:2, Piédestal pour épée
BiblioCraft:BiblioSwordPedestal:3, Piédestal pour épée
BiblioCraft:BiblioSwordPedestal:4, Piédestal pour épée
BiblioCraft:BiblioSwordPedestal:5, Piédestal pour épée
BiblioCraft:BiblioSwordPedestal:6, Piédestal pour épée
BiblioCraft:BiblioSwordPedestal:7, Piédestal pour épée
BiblioCraft:BiblioSwordPedestal:8, Piédestal pour épée
BiblioCraft:BiblioSwordPedestal:9, Piédestal pour épée
BiblioCraft:BiblioSwordPedestal:10, Piédestal pour épée
BiblioCraft:BiblioSwordPedestal:11, Piédestal pour épée
BiblioCraft:BiblioSwordPedestal:12, Piédestal pour épée
BiblioCraft:BiblioSwordPedestal:13, Piédestal pour épée
BiblioCraft:BiblioSwordPedestal:14, Piédestal pour épée
BiblioCraft:BiblioSwordPedestal:15, Piédestal pour épée
BiblioCraft:BiblioFancySign:0, Panneau amélioré en chêne
BiblioCraft:BiblioFancySign:1, Panneau amélioré en sapin
BiblioCraft:BiblioFancySign:2, Panneau amélioré en bouleau
BiblioCraft:BiblioFancySign:3, Panneau amélioré en acajou
BiblioCraft:BiblioFancySign:4, Panneau amélioré en acacia
BiblioCraft:BiblioFancySign:5, Panneau amélioré en chêne noir
BiblioCraft:BiblioFancySign:6, Framed Fancy Sign
BiblioCraft:BiblioWorkbench:0, Table de travail améliorée en chêne
BiblioCraft:BiblioWorkbench:1, Table de travail améliorée en sapin
BiblioCraft:BiblioWorkbench:2, Table de travail améliorée en bouleau
BiblioCraft:BiblioWorkbench:3, Table de travail améliorée en acajou
BiblioCraft:BiblioWorkbench:4, Table de travail améliorée en acacia
BiblioCraft:BiblioWorkbench:5, Table de travail améliorée en chêne noir
BiblioCraft:BiblioWorkbench:6, Framed Fancy Workbench
BiblioCraft:BiblioBell, Clochette de bureau
BiblioCraft:Bibliotheca:0, Bibliothèque en chêne
BiblioCraft:Bibliotheca:1, Bibliothèque en sapin
BiblioCraft:Bibliotheca:2, Bibliothèque en bouleau
BiblioCraft:Bibliotheca:3, Bibliothèque en acajou
BiblioCraft:Bibliotheca:4, Bibliothèque en acacia
BiblioCraft:Bibliotheca:5, Bibliothèque en chêne noir
BiblioCraft:Bibliotheca:6, Framed Bookcase
BiblioCraft:BookcaseFilled:0, Bibliothèque en chêne
BiblioCraft:BookcaseFilled:1, Bibliothèque en sapin
BiblioCraft:BookcaseFilled:2, Bibliothèque en bouleau
BiblioCraft:BookcaseFilled:3, Bibliothèque en acajou
BiblioCraft:BookcaseFilled:4, Bibliothèque en acacia
BiblioCraft:BookcaseFilled:5, Bibliothèque en chêne noir
BiblioCraft:BookcaseFilled:6, Framed Bookcase
BiblioCraft:BiblioPotionShelf:0, Étagère à potions en Bouleau
BiblioCraft:BiblioPotionShelf:1, Étagère à potions en sapin
BiblioCraft:BiblioPotionShelf:2, Étagère à potions en chêne
BiblioCraft:BiblioPotionShelf:3, Étagère à potions en acajou
BiblioCraft:BiblioPotionShelf:4, Etagère à potions en acacia
BiblioCraft:BiblioPotionShelf:5, Etagère à potions en chêne noir
BiblioCraft:BiblioPotionShelf:6, Framed Potion Shelf
BiblioCraft:BiblioShelf:0, Étagère en bouleau
BiblioCraft:BiblioShelf:1, Étagère en sapin
BiblioCraft:BiblioShelf:2, Étagère en chêne
BiblioCraft:BiblioShelf:3, Étagère en acajou
BiblioCraft:BiblioShelf:4, Etagère en acacia
BiblioCraft:BiblioShelf:5, Etagère en chêne noir
BiblioCraft:BiblioShelf:6, Framed Shelf
BiblioCraft:BiblioRack:0, Porte-outils en bouleau
BiblioCraft:BiblioRack:1, Porte-outils en sapin
BiblioCraft:BiblioRack:2, Porte-outils en chêne
BiblioCraft:BiblioRack:3, Porte-outils en acajou
BiblioCraft:BiblioRack:4, Etagère à outils en acacia
BiblioCraft:BiblioRack:5, Etagère à outils en chêne noir
BiblioCraft:BiblioRack:6, Framed Tool Rack
BiblioCraft:BiblioCase:0, Boite en chêne
BiblioCraft:BiblioCase:1, Boite en sapin
BiblioCraft:BiblioCase:2, Boite en bouleau
BiblioCraft:BiblioCase:3, Boite en acajou
BiblioCraft:BiblioCase:4, Boite en acacia
BiblioCraft:BiblioCase:5, Boite en chêne noir
BiblioCraft:BiblioCase:6, Framed Case
BiblioCraft:BiblioLabel:0, Pancarte en bouleau
BiblioCraft:BiblioLabel:1, Pancarte en sapin
BiblioCraft:BiblioLabel:2, Pancarte en chêne
BiblioCraft:BiblioLabel:3, Pancarte en acajou
BiblioCraft:BiblioLabel:4, Pancarte en acacia
BiblioCraft:BiblioLabel:5, Pancarte en chêne noir
BiblioCraft:BiblioLabel:6, Framed Label
BiblioCraft:BiblioDesk:0, Bureau en bouleau
BiblioCraft:BiblioDesk:1, Bureau en sapin
BiblioCraft:BiblioDesk:2, Bureau en chêne
BiblioCraft:BiblioDesk:3, Bureau en acajou
BiblioCraft:BiblioDesk:4, Bureau en acacia
BiblioCraft:BiblioDesk:5, Bureau en chêne noir
BiblioCraft:BiblioDesk:6, Framed Desk
BiblioCraft:BiblioTable:0, Table en bouleau
BiblioCraft:BiblioTable:1, Table en sapin
BiblioCraft:BiblioTable:2, Table en chêne
BiblioCraft:BiblioTable:3, Table en acajou
BiblioCraft:BiblioTable:4, Table en acacia
BiblioCraft:BiblioTable:5, Table en chêne noir
BiblioCraft:BiblioTable:6, Framed Table
BiblioCraft:Armor Stand, Mannequin pour armure
BiblioCraft:Typesetting Machine, Table de copie
BiblioCraft:Printing Press, Presse d'imprimerie
BiblioCraft:BiblioLantern:0, Lanterne dorée
BiblioCraft:BiblioLantern:1, Lanterne dorée
BiblioCraft:BiblioLantern:2, Lanterne dorée
BiblioCraft:BiblioLantern:3, Lanterne dorée
